District,Year,november,december,january,february,Yield
SHEIKHPURA,2010,0.5,0.443,0.503,0.546,1.62
SHEIKHPURA,2011,0.492,0.365,0.521,0.59,2.86
SHEIKHPURA,2012,0.577,0.435,0.486,0.638,2.64
SHEIKHPURA,2013,0.448,0.482,0.648,0.664,2.89
SHEIKHPURA,2014,0.47,0.4,0.597,0.613,2.19
SHEOHAR,2006,0.478,0.507,0.537,0.66,1.36
SHEOHAR,2007,0.482,0.374,0.62,0.632,1.62
SHEOHAR,2008,0.404,0.438,0.656,0.659,2.12
SHEOHAR,2009,0.445,0.44,0.573,0.671,2.67
SHEOHAR,2010,0.503,0.369,0.558,0.648,2.73
SHEOHAR,2011,0.445,0.44,0.631,0.648,3.51
SHEOHAR,2012,0.472,0.396,0.572,0.69,3.03
SHEOHAR,2013,0.481,0.422,0.687,0.693,3.68
SHEOHAR,2014,0.467,0.502,0.652,0.662,1.38
SITAMARHI,2006,0.483,0.464,0.495,0.628,1.73
SITAMARHI,2007,0.504,0.392,0.594,0.611,1.94
SITAMARHI,2008,0.428,0.415,0.61,0.613,2.05
SITAMARHI,2009,0.48,0.382,0.492,0.623,1.92
SITAMARHI,2010,0.532,0.384,0.51,0.614,1.82
SITAMARHI,2011,0.48,0.408,0.568,0.609,2.86
SITAMARHI,2012,0.508,0.387,0.506,0.664,2.87
SITAMARHI,2013,0.526,0.406,0.619,0.655,2.89
SITAMARHI,2014,0.53,0.472,0.607,0.634,0.87
SIWAN,2006,0.452,0.441,0.533,0.691,2.08
SIWAN,2007,0.43,0.397,0.635,0.638,2.47
SIWAN,2008,0.375,0.416,0.666,0.644,2.19
SIWAN,2009,0.426,0.4,0.58,0.637,2.73
SIWAN,2010,0.52,0.383,0.579,0.686,2.01
SIWAN,2011,0.426,0.412,0.612,0.652,3
SIWAN,2012,0.48,0.355,0.569,0.705,3.31
SIWAN,2013,0.462,0.402,0.52,0.699,3.07
SIWAN,2014,0.447,0.476,0.642,0.627,1.9
SUPAUL,2006,0.461,0.406,0.513,0.593,1.85
SUPAUL,2007,0.501,0.413,0.63,0.621,1.83
SUPAUL,2008,0.425,0.363,0.505,0.539,1.86
SUPAUL,2009,0.485,0.347,0.513,0.587,1.77
SUPAUL,2010,0.481,0.4,0.566,0.64,1.54
SUPAUL,2011,0.485,0.386,0.564,0.613,2.27
SUPAUL,2012,0.55,0.395,0.539,0.657,1.87
SUPAUL,2013,0.497,0.374,0.615,0.655,2.29
SUPAUL,2014,0.513,0.483,0.643,0.662,1.58
VAISHALI,2006,0.421,0.494,0.569,0.651,2.51
VAISHALI,2007,0.408,0.378,0.603,0.617,2.68
VAISHALI,2008,0.376,0.452,0.628,0.596,2.96
VAISHALI,2009,0.426,0.459,0.592,0.6,2.4
VAISHALI,2010,0.48,0.402,0.518,0.619,3.32
VAISHALI,2011,0.426,0.478,0.608,0.621,3.85
VAISHALI,2012,0.462,0.429,0.592,0.676,2.78
VAISHALI,2013,0.417,0.475,0.572,0.668,3.37
VAISHALI,2014,0.389,0.495,0.648,0.65,2.09
