District,Year,june,july,august,september,october,november,Yield
Deoria,2009,0.272,0.335,0.612,0.719,0.586,0.391,1.42
Deoria,2010,0.227,0.347,0.572,0.69,0.658,0.484,2
Deoria,2011,0.326,0.335,0.612,0.719,0.587,0.391,2.2
Deoria,2012,0.236,0.281,0.688,0.715,0.625,0.426,2.23
Deoria,2013,0.311,0.387,0.652,0.708,0.666,0.441,2.46
Deoria,2014,0.27,0.413,0.636,0.743,0.671,0.42,2.01
Deoria,2015,0.298,0.463,0.579,0.676,0.583,0.397,0.78
Deoria,2016,0.295,0.338,0.755,0.698,0.645,0.423,2.09
Deoria,2017,0.331,0.389,0.573,0.744,0.639,0.415,2.3
Deoria,2018,0.278,0.376,0.634,0.74,0.604,0.383,2.05
Deoria,2019,0.271,0.343,0.471,0.732,0.7,0.462,2.67
Etah,2006,0.281,0.396,0.536,0.534,0.378,0.337,2.17
Etah,2007,0.244,0.336,0.488,0.548,0.431,0.336,2.29
Etah,2008,0.358,0.453,0.572,0.494,0.418,0.381,2.22
Etah,2009,0.227,0.297,0.468,0.574,0.437,0.362,2.22
Etah,2010,0.242,0.401,0.547,0.623,0.459,0.348,2.1
Etah,2011,0.276,0.297,0.468,0.575,0.437,0.362,2.56
Etah,2012,0.24,0.366,0.567,0.638,0.471,0.361,2.65
Etah,2013,0.297,0.471,0.576,0.603,0.512,0.378,2.33
Etah,2014,0.253,0.29,0.56,0.613,0.476,0.318,2.21
Etah,2015,0.265,0.409,0.623,0.585,0.407,0.312,1.55
Etah,2016,0.284,0.372,0.663,0.587,0.402,0.347,2.19
Etah,2017,0.33,0.423,0.612,0.676,0.478,0.355,2.58
Etah,2018,0.266,0.308,0.543,0.641,0.506,0.389,2.67
Etah,2019,0.307,0.373,0.554,0.714,0.56,0.401,2.91
Etawah,2006,0.234,0.36,0.546,0.611,0.493,0.392,2.68
Etawah,2007,0.242,0.322,0.413,0.573,0.451,0.318,2.57
Etawah,2008,0.318,0.395,0.495,0.563,0.517,0.413,2.77
Etawah,2009,0.218,0.318,0.475,0.607,0.534,0.408,2.6
Etawah,2010,0.225,0.362,0.502,0.664,0.549,0.448,2.47
Etawah,2011,0.262,0.318,0.475,0.607,0.534,0.408,2.71
Etawah,2012,0.229,0.332,0.548,0.666,0.567,0.394,2.96
Etawah,2013,0.323,0.473,0.562,0.637,0.587,0.429,2.91
Etawah,2014,0.268,0.277,0.556,0.663,0.56,0.353,2.59
Etawah,2015,0.281,0.377,0.581,0.64,0.498,0.405,2.47
Etawah,2016,0.296,0.353,0.523,0.659,0.523,0.371,2.73
Etawah,2017,0.331,0.344,0.588,0.695,0.579,0.376,2.86
Etawah,2018,0.276,0.29,0.453,0.663,0.579,0.386,3.09
Etawah,2019,0.3,0.371,0.463,0.726,0.666,0.44,3.11
Faizabad,2006,0.467,0.484,0.665,0.693,0.649,0.442,1.74
Faizabad,2007,0.435,0.429,0.673,0.715,0.656,0.456,2.12
Faizabad,2008,0.354,0.455,0.637,0.682,0.609,0.437,2.38
Faizabad,2009,0.328,0.426,0.666,0.744,0.632,0.462,2.3
Faizabad,2010,0.327,0.453,0.59,0.719,0.663,0.514,2.21
Faizabad,2011,0.366,0.426,0.666,0.744,0.632,0.462,2.38
Faizabad,2012,0.308,0.396,0.653,0.752,0.641,0.461,2.54
Faizabad,2013,0.512,0.518,0.643,0.743,0.703,0.476,2.62
Faizabad,2014,0.35,0.481,0.66,0.707,0.653,0.437,2.2
Faizabad,2015,0.347,0.552,0.648,0.68,0.625,0.404,2.09
Faizabad,2016,0.353,0.444,0.687,0.718,0.666,0.466,2.55
Faizabad,2017,0.417,0.542,0.731,0.783,0.666,0.481,2.59
Faizabad,2018,0.347,0.497,0.646,0.786,0.646,0.485,2.95
Faizabad,2019,0.35,0.464,0.626,0.73,0.752,0.509,2.96
Farukkhabad,2006,0.328,0.446,0.575,0.523,0.389,0.421,2.28
Farukkhabad,2007,0.256,0.292,0.504,0.549,0.414,0.348,2.28
Farukkhabad,2008,0.312,0.432,0.606,0.51,0.39,0.414,2.47
Farukkhabad,2009,0.246,0.31,0.53,0.559,0.419,0.414,2.24
Farukkhabad,2010,0.263,0.401,0.562,0.532,0.389,0.41,1.61
Farukkhabad,2011,0.309,0.31,0.53,0.559,0.419,0.414,2.24
Farukkhabad,2012,0.283,0.366,0.556,0.55,0.439,0.411,2.78
Farukkhabad,2013,0.373,0.57,0.569,0.539,0.445,0.458,2.68
Farukkhabad,2014,0.315,0.361,0.516,0.521,0.399,0.425,2.79
Farukkhabad,2015,0.309,0.408,0.598,0.52,0.367,0.385,2.25
